Repository,File Name,Class,Start Line,End Line,Displacement,Level
DeCharla,admin.py,Simple Atributte,5,5,0,A2
DeCharla,admin.py,Simple Atributte,6,6,0,A2
DeCharla,admin.py,Simple Atributte,7,7,0,A2
DeCharla,admin.py,Simple Atributte,8,8,0,A2
DeCharla,admin.py,Simple Atributte,9,9,0,A2
DeCharla,admin.py,Simple Atributte,10,10,0,A2
DeCharla,admin.py,Simple Atributte,11,11,0,A2
DeCharla,admin.py,Simple Atributte,5,5,0,A2
DeCharla,admin.py,Simple Atributte,6,6,0,A2
DeCharla,admin.py,Simple Atributte,7,7,0,A2
DeCharla,admin.py,Simple Atributte,8,8,0,A2
DeCharla,admin.py,Simple Atributte,9,9,0,A2
DeCharla,admin.py,Simple Atributte,10,10,0,A2
DeCharla,admin.py,Simple Atributte,11,11,0,A2
DeCharla,admin.py,From,1,1,0,A2
DeCharla,admin.py,Relative From,2,2,0,B1
DeCharla,apps.py,Simple Assignment,5,5,4,A1
DeCharla,apps.py,Simple Assignment,6,6,4,A1
DeCharla,apps.py,From,1,1,0,A2
DeCharla,apps.py,Inherited Class from AppConfig,4,6,0,B1
DeCharla,forms.py,Simple List,10,10,17,A1
DeCharla,forms.py,Simple Atributte,5,5,18,A2
DeCharla,forms.py,Simple Atributte,12,12,24,A2
DeCharla,forms.py,Simple Atributte,17,17,15,A2
DeCharla,forms.py,Simple Atributte,6,6,16,A2
DeCharla,forms.py,Simple Atributte,7,7,13,A2
DeCharla,forms.py,Simple Atributte,13,13,13,A2
DeCharla,forms.py,Simple Atributte,14,14,20,A2
DeCharla,forms.py,Simple Atributte,15,15,18,A2
DeCharla,forms.py,Simple Atributte,18,18,18,A2
DeCharla,forms.py,Simple Atributte,6,6,39,A2
DeCharla,forms.py,Simple Atributte,14,14,78,A2
DeCharla,forms.py,Simple Atributte,15,15,71,A2
DeCharla,forms.py,Simple Assignment,6,6,4,A1
DeCharla,forms.py,Simple Assignment,7,7,4,A1
DeCharla,forms.py,Simple Assignment,13,13,4,A1
DeCharla,forms.py,Simple Assignment,14,14,4,A1
DeCharla,forms.py,Simple Assignment,15,15,4,A1
DeCharla,forms.py,Simple Assignment,18,18,4,A1
DeCharla,forms.py,Simple Assignment,9,9,8,A1
DeCharla,forms.py,Simple Assignment,10,10,8,A1
DeCharla,forms.py,From with 'as' extension ,1,1,0,B1
DeCharla,forms.py,From,2,2,0,A2
DeCharla,forms.py,Relative From,3,3,0,B1
DeCharla,forms.py,Simple Class ,5,10,0,B1
DeCharla,forms.py,Simple Class ,12,15,0,B1
DeCharla,forms.py,Simple Class ,17,18,0,B1
DeCharla,forms.py,Simple Class ,8,10,4,B1
migrations,0001_initial.py,Simple List,12,14,19,A1
migrations,0001_initial.py,Simple List,16,63,17,A1
migrations,0001_initial.py,Simple List,19,22,19,A1
migrations,0001_initial.py,Simple List,26,30,19,A1
migrations,0001_initial.py,Simple List,34,39,19,A1
migrations,0001_initial.py,Simple List,43,51,19,A1
migrations,0001_initial.py,Simple List,55,61,19,A1
migrations,0001_initial.py,Simple List,58,58,70,A1
migrations,0001_initial.py,Simple List,59,59,57,A1
migrations,0001_initial.py,Simple Tuple,20,20,16,A1
migrations,0001_initial.py,Simple Tuple,21,21,16,A1
migrations,0001_initial.py,Simple Tuple,27,27,16,A1
migrations,0001_initial.py,Simple Tuple,28,28,16,A1
migrations,0001_initial.py,Simple Tuple,29,29,16,A1
migrations,0001_initial.py,Simple Tuple,35,35,16,A1
migrations,0001_initial.py,Simple Tuple,36,36,16,A1
migrations,0001_initial.py,Simple Tuple,37,37,16,A1
migrations,0001_initial.py,Simple Tuple,38,38,16,A1
migrations,0001_initial.py,Simple Tuple,44,44,16,A1
migrations,0001_initial.py,Simple Tuple,45,45,16,A1
migrations,0001_initial.py,Simple Tuple,46,46,16,A1
migrations,0001_initial.py,Simple Tuple,47,47,16,A1
migrations,0001_initial.py,Simple Tuple,48,48,16,A1
migrations,0001_initial.py,Simple Tuple,49,49,16,A1
migrations,0001_initial.py,Simple Tuple,50,50,16,A1
migrations,0001_initial.py,Simple Tuple,56,56,16,A1
migrations,0001_initial.py,Simple Tuple,57,57,16,A1
migrations,0001_initial.py,Simple Tuple,58,58,16,A1
migrations,0001_initial.py,Simple Tuple,59,59,16,A1
migrations,0001_initial.py,Simple Tuple,60,60,16,A1
migrations,0001_initial.py,Simple Tuple,58,58,71,A1
migrations,0001_initial.py,Simple Tuple,58,58,91,A1
migrations,0001_initial.py,Simple Tuple,58,58,108,A1
migrations,0001_initial.py,Simple Tuple,59,59,58,A1
migrations,0001_initial.py,Simple Tuple,59,59,78,A1
migrations,0001_initial.py,Simple Tuple,59,59,118,A1
migrations,0001_initial.py,Simple Atributte,8,8,16,A2
migrations,0001_initial.py,Simple Atributte,13,13,8,A2
migrations,0001_initial.py,Simple Atributte,13,13,40,A2
migrations,0001_initial.py,Simple Atributte,17,17,8,A2
migrations,0001_initial.py,Simple Atributte,24,24,8,A2
migrations,0001_initial.py,Simple Atributte,32,32,8,A2
migrations,0001_initial.py,Simple Atributte,41,41,8,A2
migrations,0001_initial.py,Simple Atributte,53,53,8,A2
migrations,0001_initial.py,Simple Atributte,20,20,23,A2
migrations,0001_initial.py,Simple Atributte,21,21,31,A2
migrations,0001_initial.py,Simple Atributte,27,27,23,A2
migrations,0001_initial.py,Simple Atributte,28,28,27,A2
migrations,0001_initial.py,Simple Atributte,29,29,27,A2
migrations,0001_initial.py,Simple Atributte,35,35,23,A2
migrations,0001_initial.py,Simple Atributte,36,36,27,A2
migrations,0001_initial.py,Simple Atributte,37,37,26,A2
migrations,0001_initial.py,Simple Atributte,38,38,28,A2
migrations,0001_initial.py,Simple Atributte,44,44,23,A2
migrations,0001_initial.py,Simple Atributte,45,45,30,A2
migrations,0001_initial.py,Simple Atributte,46,46,27,A2
migrations,0001_initial.py,Simple Atributte,47,47,26,A2
migrations,0001_initial.py,Simple Atributte,48,48,27,A2
migrations,0001_initial.py,Simple Atributte,49,49,28,A2
migrations,0001_initial.py,Simple Atributte,50,50,25,A2
migrations,0001_initial.py,Simple Atributte,56,56,23,A2
migrations,0001_initial.py,Simple Atributte,57,57,27,A2
migrations,0001_initial.py,Simple Atributte,58,58,34,A2
migrations,0001_initial.py,Simple Atributte,59,59,32,A2
migrations,0001_initial.py,Simple Atributte,60,60,27,A2
migrations,0001_initial.py,Simple Atributte,38,38,56,A2
migrations,0001_initial.py,Simple Atributte,38,38,94,A2
migrations,0001_initial.py,Simple Atributte,49,49,56,A2
migrations,0001_initial.py,Simple Atributte,49,49,94,A2
migrations,0001_initial.py,Simple Atributte,50,50,53,A2
migrations,0001_initial.py,Simple Atributte,60,60,58,A2
migrations,0001_initial.py,Simple Atributte,38,38,56,A2
migrations,0001_initial.py,Simple Atributte,49,49,56,A2
migrations,0001_initial.py,Simple Atributte,50,50,53,A2
migrations,0001_initial.py,Simple Atributte,60,60,58,A2
migrations,0001_initial.py,Simple Atributte,38,38,56,A2
migrations,0001_initial.py,Simple Atributte,49,49,56,A2
migrations,0001_initial.py,Simple Atributte,50,50,53,A2
migrations,0001_initial.py,Simple Atributte,60,60,58,A2
migrations,0001_initial.py,Simple Atributte,38,38,56,A2
migrations,0001_initial.py,Simple Atributte,49,49,56,A2
migrations,0001_initial.py,Simple Atributte,50,50,53,A2
migrations,0001_initial.py,Simple Atributte,60,60,58,A2
migrations,0001_initial.py,Simple Assignment,10,10,4,A1
migrations,0001_initial.py,Simple Assignment,12,14,4,A1
migrations,0001_initial.py,Simple Assignment,16,63,4,A1
migrations,0001_initial.py,Import,5,5,0,A2
migrations,0001_initial.py,From,3,3,0,A2
migrations,0001_initial.py,From,4,4,0,A2
migrations,0001_initial.py,Simple Class ,8,63,0,B1
migrations,0002_alter_mensaje_creador.py,Simple List,8,10,19,A1
migrations,0002_alter_mensaje_creador.py,Simple List,12,18,17,A1
migrations,0002_alter_mensaje_creador.py,Simple Tuple,9,9,8,A1
migrations,0002_alter_mensaje_creador.py,Simple Atributte,6,6,16,A2
migrations,0002_alter_mensaje_creador.py,Simple Atributte,13,13,8,A2
migrations,0002_alter_mensaje_creador.py,Simple Atributte,16,16,18,A2
migrations,0002_alter_mensaje_creador.py,Simple Assignment,8,10,4,A1
migrations,0002_alter_mensaje_creador.py,Simple Assignment,12,18,4,A1
migrations,0002_alter_mensaje_creador.py,From,3,3,0,A2
migrations,0002_alter_mensaje_creador.py,Simple Class ,6,18,0,B1
migrations,0003_ultimavisita.py,Simple List,9,11,19,A1
migrations,0003_ultimavisita.py,Simple List,13,23,17,A1
migrations,0003_ultimavisita.py,Simple List,16,21,19,A1
migrations,0003_ultimavisita.py,Simple Tuple,10,10,8,A1
migrations,0003_ultimavisita.py,Simple Tuple,17,17,16,A1
migrations,0003_ultimavisita.py,Simple Tuple,18,18,16,A1
migrations,0003_ultimavisita.py,Simple Tuple,19,19,16,A1
migrations,0003_ultimavisita.py,Simple Tuple,20,20,16,A1
migrations,0003_ultimavisita.py,Simple Atributte,7,7,16,A2
migrations,0003_ultimavisita.py,Simple Atributte,14,14,8,A2
migrations,0003_ultimavisita.py,Simple Atributte,17,17,23,A2
migrations,0003_ultimavisita.py,Simple Atributte,18,18,31,A2
migrations,0003_ultimavisita.py,Simple Atributte,19,19,25,A2
migrations,0003_ultimavisita.py,Simple Atributte,20,20,27,A2
migrations,0003_ultimavisita.py,Simple Atributte,19,19,53,A2
migrations,0003_ultimavisita.py,Simple Atributte,20,20,55,A2
migrations,0003_ultimavisita.py,Simple Atributte,19,19,53,A2
migrations,0003_ultimavisita.py,Simple Atributte,20,20,55,A2
migrations,0003_ultimavisita.py,Simple Atributte,19,19,53,A2
migrations,0003_ultimavisita.py,Simple Atributte,20,20,55,A2
migrations,0003_ultimavisita.py,Simple Atributte,19,19,53,A2
migrations,0003_ultimavisita.py,Simple Atributte,20,20,55,A2
migrations,0003_ultimavisita.py,Simple Assignment,9,11,4,A1
migrations,0003_ultimavisita.py,Simple Assignment,13,23,4,A1
migrations,0003_ultimavisita.py,Import,4,4,0,A2
migrations,0003_ultimavisita.py,From,3,3,0,A2
migrations,0003_ultimavisita.py,Simple Class ,7,23,0,B1
migrations,0004_ultimavisita_mensajes_no_leidos.py,Simple List,8,10,19,A1
migrations,0004_ultimavisita_mensajes_no_leidos.py,Simple List,12,18,17,A1
migrations,0004_ultimavisita_mensajes_no_leidos.py,Simple Tuple,9,9,8,A1
migrations,0004_ultimavisita_mensajes_no_leidos.py,Simple Atributte,6,6,16,A2
migrations,0004_ultimavisita_mensajes_no_leidos.py,Simple Atributte,13,13,8,A2
migrations,0004_ultimavisita_mensajes_no_leidos.py,Simple Atributte,16,16,18,A2
migrations,0004_ultimavisita_mensajes_no_leidos.py,Simple Assignment,8,10,4,A1
migrations,0004_ultimavisita_mensajes_no_leidos.py,Simple Assignment,12,18,4,A1
migrations,0004_ultimavisita_mensajes_no_leidos.py,From,3,3,0,A2
migrations,0004_ultimavisita_mensajes_no_leidos.py,Simple Class ,6,18,0,B1
