Repository,File Name,Class,Start Line,End Line,Displacement,Level
DeCharla,admin.py,Simple Atributte,5,5,0,A2
DeCharla,admin.py,Simple Atributte,5,5,0,A2
DeCharla,admin.py,Simple Atributte,6,6,0,A2
DeCharla,admin.py,Simple Atributte,7,7,0,A2
DeCharla,admin.py,Simple Atributte,8,8,0,A2
DeCharla,admin.py,Simple Atributte,9,9,0,A2
DeCharla,admin.py,Simple Atributte,10,10,0,A2
DeCharla,admin.py,Simple Atributte,11,11,0,A2
DeCharla,admin.py,Simple Atributte,5,5,0,A2
DeCharla,admin.py,Simple Atributte,6,6,0,A2
DeCharla,admin.py,Simple Atributte,7,7,0,A2
DeCharla,admin.py,Simple Atributte,8,8,0,A2
DeCharla,admin.py,Simple Atributte,9,9,0,A2
DeCharla,admin.py,Simple Atributte,10,10,0,A2
DeCharla,admin.py,Simple Atributte,11,11,0,A2
DeCharla,admin.py,From,1,1,0,A2
DeCharla,admin.py,Relative From,2,2,0,B1
DeCharla,apps.py,Simple Assignment,5,5,4,A1
